province_id,province,year,GINIW_province,gdppc
3,Nongbua Lamphu,2019,0.024494985,37983
3,Nongbua Lamphu,2020,0.022071723,36359
3,Nongbua Lamphu,2021,0.020764362,38265
38,Nonthaburi,2014,0.015166692,124841
38,Nonthaburi,2015,0.014917214,128480
38,Nonthaburi,2016,0.014661077,129896
38,Nonthaburi,2017,0.013650932,134561
38,Nonthaburi,2018,0.013215807,134169
38,Nonthaburi,2019,0.012994677,139958
38,Nonthaburi,2020,0.012344078,137053
38,Nonthaburi,2021,0.012055486,135093
58,Pathum Thani,2014,0.019603984,161223
58,Pathum Thani,2015,0.019166393,161351
58,Pathum Thani,2016,0.018265571,157070
58,Pathum Thani,2017,0.016453022,167571
58,Pathum Thani,2018,0.017083108,168576
58,Pathum Thani,2019,0.01740892,177831
58,Pathum Thani,2020,0.016296161,166679
58,Pathum Thani,2021,0.015224946,162802
57,Pattani,2014,0.033425223,57568
57,Pattani,2015,0.032534078,56413
57,Pattani,2016,0.031263229,58954
57,Pattani,2017,0.028131861,47803
57,Pattani,2018,0.028372366,50559
57,Pattani,2019,0.029069535,51016
57,Pattani,2020,0.026946709,48522
57,Pattani,2021,0.026493682,49404
42,Phachuap Khiri Khan,2014,0.021743312,117025
42,Phachuap Khiri Khan,2015,0.019410538,118101
42,Phachuap Khiri Khan,2016,0.019292019,121722
42,Phachuap Khiri Khan,2017,0.016446993,134102
42,Phachuap Khiri Khan,2018,0.015378934,141240
42,Phachuap Khiri Khan,2019,0.015548761,142295
42,Phachuap Khiri Khan,2020,0.013811401,130002
42,Phachuap Khiri Khan,2021,0.01360614,132747
56,Phangnga,2014,0.034004908,110913
56,Phangnga,2015,0.031804491,136980
56,Phangnga,2016,0.032150261,144833
56,Phangnga,2017,0.030318551,158693
56,Phangnga,2018,0.030738546,162916
56,Phangnga,2019,0.028736649,166824
56,Phangnga,2020,0.026715377,118012
56,Phangnga,2021,0.025294688,106056
55,Phatthalung,2014,0.060010336,37899
55,Phatthalung,2015,0.056561697,38037
55,Phatthalung,2016,0.056412328,41012
55,Phatthalung,2017,0.049217336,39663
55,Phatthalung,2018,0.047444038,41872
55,Phatthalung,2019,0.04457885,41846
55,Phatthalung,2020,0.041177761,41998
55,Phatthalung,2021,0.038595613,43018
1,Phayao,2014,0.03930667,41894
1,Phayao,2015,0.037893951,43244
1,Phayao,2016,0.037247207,44185
1,Phayao,2017,0.031187588,47036
1,Phayao,2018,0.0302084,47029
1,Phayao,2019,0.027297786,47556
1,Phayao,2020,0.026176926,46699
1,Phayao,2021,0.026432652,48019
10,Phetchabun,2014,0.016591987,45090
10,Phetchabun,2015,0.01530272,44672
10,Phetchabun,2016,0.016654031,46461
10,Phetchabun,2017,0.017576037,44629
10,Phetchabun,2018,0.01886143,46924
10,Phetchabun,2019,0.019980798,47714
10,Phetchabun,2020,0.01929418,45445
10,Phetchabun,2021,0.019361386,45446
8,Phetchaburi,2014,0.038982298,78748
8,Phetchaburi,2015,0.038161457,78447
8,Phetchaburi,2016,0.038061514,79069
8,Phetchaburi,2017,0.035530757,85406
8,Phetchaburi,2018,0.03542142,86862
8,Phetchaburi,2019,0.035172947,90820
8,Phetchaburi,2020,0.034131989,85788
8,Phetchaburi,2021,0.033167787,86725
54,Phichit,2014,0.024647146,43213
54,Phichit,2015,0.022405377,39378
54,Phichit,2016,0.022713006,38634
54,Phichit,2017,0.019290308,41295
54,Phichit,2018,0.019516926,45844
54,Phichit,2019,0.020181445,44814
54,Phichit,2020,0.017701095,43115
54,Phichit,2021,0.016694708,43744
21,Phitsanulok,2014,0.070268519,52046
21,Phitsanulok,2015,0.067079611,51349
21,Phitsanulok,2016,0.066042721,51437
21,Phitsanulok,2017,0.059656173,54958
21,Phitsanulok,2018,0.058843337,56766
21,Phitsanulok,2019,0.057719737,57309
21,Phitsanulok,2020,0.056549318,54300
21,Phitsanulok,2021,0.055406112,56698
53,Phra Nakhon Sri Ayuthaya,2014,0.035193272,321829
53,Phra Nakhon Sri Ayuthaya,2015,0.034516148,358381
53,Phra Nakhon Sri Ayuthaya,2016,0.032564424,344394
