TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 1,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2143559.22
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 1,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,376666.26
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 1,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,119782.47
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 2,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2184851.18
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 2,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,396204.66
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 2,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,133637.51
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 3,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2313313.34
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 3,Bangkok,Bangkok,    Higher education,5,    Technical Education,Total,355987.87
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 3,Bangkok,Bangkok,    Higher education,6,    Teacher Training,Total,127451.59
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2018,Quarter 4,Bangkok,Bangkok,    Higher education,4,    Academic,Total,2278086.95
