TABLE_DESC_ENG,UNIT1E,NOTE1E,SOURCE_ENG1,Year,Quarter,Region,Province,Education,SORT_ID,Education Detail,Sex,?????
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Chumphon,    Higher education,6,    Teacher Training,Total,8665.39
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Songkhla,    Higher education,4,    Academic,Total,140103.05
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Songkhla,    Higher education,5,    Technical Education,Total,82271.05
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Songkhla,    Higher education,6,    Teacher Training,Total,25534.54
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Satun,    Higher education,4,    Academic,Total,22396.53
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Satun,    Higher education,5,    Technical Education,Total,7920.98
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Satun,    Higher education,6,    Teacher Training,Total,6778.17
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Trang,    Higher education,4,    Academic,Total,56187.81
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Trang,    Higher education,5,    Technical Education,Total,23120.25
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Trang,    Higher education,6,    Teacher Training,Total,10368.21
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Phatthalung,    Higher education,4,    Academic,Total,35758.43
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Phatthalung,    Higher education,5,    Technical Education,Total,22271.94
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Phatthalung,    Higher education,6,    Teacher Training,Total,10432.56
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Pattani,    Higher education,4,    Academic,Total,25703.64
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Pattani,    Higher education,5,    Technical Education,Total,16677.47
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Pattani,    Higher education,6,    Teacher Training,Total,11177.33
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Yala,    Higher education,4,    Academic,Total,12151.42
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Yala,    Higher education,5,    Technical Education,Total,8304.84
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Yala,    Higher education,6,    Teacher Training,Total,8561.06
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Narathiwat,    Higher education,4,    Academic,Total,32544.33
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Narathiwat,    Higher education,5,    Technical Education,Total,11764.47
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 3,Southern Region,Narathiwat,    Higher education,6,    Teacher Training,Total,14288.33
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Southern Region,    Higher education,4,    Academic,Total,686534.03
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Southern Region,    Higher education,5,    Technical Education,Total,328475.35
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Southern Region,    Higher education,6,    Teacher Training,Total,171926.92
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Nakhon Si Thammarat,    Higher education,4,    Academic,Total,106680.75
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Nakhon Si Thammarat,    Higher education,5,    Technical Education,Total,48498.48
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Nakhon Si Thammarat,    Higher education,6,    Teacher Training,Total,27627.5
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Krabi,    Higher education,4,    Academic,Total,31842.07
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Krabi,    Higher education,5,    Technical Education,Total,13059.57
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Krabi,    Higher education,6,    Teacher Training,Total,6006.49
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Phangnga,    Higher education,4,    Academic,Total,18641.89
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Phangnga,    Higher education,5,    Technical Education,Total,11942.91
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Phangnga,    Higher education,6,    Teacher Training,Total,5144.03
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Phuket,    Higher education,4,    Academic,Total,68570.48
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Phuket,    Higher education,5,    Technical Education,Total,26626.37
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Phuket,    Higher education,6,    Teacher Training,Total,9092.08
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Surat Thani,    Higher education,4,    Academic,Total,104946.79
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Surat Thani,    Higher education,5,    Technical Education,Total,30558.33
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Surat Thani,    Higher education,6,    Teacher Training,Total,13548.04
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Ranong,    Higher education,4,    Academic,Total,15867.45
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Ranong,    Higher education,5,    Technical Education,Total,7668.39
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Ranong,    Higher education,6,    Teacher Training,Total,4492.49
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Chumphon,    Higher education,4,    Academic,Total,32433.74
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Chumphon,    Higher education,5,    Technical Education,Total,19421.49
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Chumphon,    Higher education,6,    Teacher Training,Total,11083.23
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Songkhla,    Higher education,4,    Academic,Total,129472.33
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Songkhla,    Higher education,5,    Technical Education,Total,73087.31
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Songkhla,    Higher education,6,    Teacher Training,Total,34377.41
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Satun,    Higher education,4,    Academic,Total,23568.49
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Satun,    Higher education,5,    Technical Education,Total,7713.24
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Satun,    Higher education,6,    Teacher Training,Total,6086.17
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Trang,    Higher education,4,    Academic,Total,51412.49
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Trang,    Higher education,5,    Technical Education,Total,25024.72
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Trang,    Higher education,6,    Teacher Training,Total,10985.98
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Phatthalung,    Higher education,4,    Academic,Total,36209.31
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Phatthalung,    Higher education,5,    Technical Education,Total,25742.12
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Phatthalung,    Higher education,6,    Teacher Training,Total,9358.24
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Pattani,    Higher education,4,    Academic,Total,23412.8
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Pattani,    Higher education,5,    Technical Education,Total,18477.72
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Pattani,    Higher education,6,    Teacher Training,Total,13551.46
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Yala,    Higher education,4,    Academic,Total,10988.27
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Yala,    Higher education,5,    Technical Education,Total,6892.61
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Yala,    Higher education,6,    Teacher Training,Total,8122.6
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Narathiwat,    Higher education,4,    Academic,Total,32487.19
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Narathiwat,    Higher education,5,    Technical Education,Total,13762.1
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2019,Quarter 4,Southern Region,Narathiwat,    Higher education,6,    Teacher Training,Total,12451.2
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Southern Region,    Higher education,4,    Academic,Total,749582.59
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Southern Region,    Higher education,5,    Technical Education,Total,358846.98
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Southern Region,    Higher education,6,    Teacher Training,Total,194871.83
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Nakhon Si Thammarat,    Higher education,4,    Academic,Total,123137.44
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Nakhon Si Thammarat,    Higher education,5,    Technical Education,Total,46912.77
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Nakhon Si Thammarat,    Higher education,6,    Teacher Training,Total,32648.82
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Krabi,    Higher education,4,    Academic,Total,29152.14
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Krabi,    Higher education,5,    Technical Education,Total,14991.3
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Krabi,    Higher education,6,    Teacher Training,Total,5997.55
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Phangnga,    Higher education,4,    Academic,Total,18215.13
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Phangnga,    Higher education,5,    Technical Education,Total,8389.02
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Phangnga,    Higher education,6,    Teacher Training,Total,4299.56
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Phuket,    Higher education,4,    Academic,Total,76723.04
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Phuket,    Higher education,5,    Technical Education,Total,26614.32
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Phuket,    Higher education,6,    Teacher Training,Total,10058.46
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Surat Thani,    Higher education,4,    Academic,Total,108583.47
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Surat Thani,    Higher education,5,    Technical Education,Total,30896.92
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Surat Thani,    Higher education,6,    Teacher Training,Total,20916.42
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Ranong,    Higher education,4,    Academic,Total,19281.55
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Ranong,    Higher education,5,    Technical Education,Total,7517.65
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Ranong,    Higher education,6,    Teacher Training,Total,4338.91
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Chumphon,    Higher education,4,    Academic,Total,31741.96
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Chumphon,    Higher education,5,    Technical Education,Total,23751.35
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Chumphon,    Higher education,6,    Teacher Training,Total,8160.08
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Songkhla,    Higher education,4,    Academic,Total,157043.36
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Songkhla,    Higher education,5,    Technical Education,Total,100874.61
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Songkhla,    Higher education,6,    Teacher Training,Total,38820.38
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Satun,    Higher education,4,    Academic,Total,22448.24
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Satun,    Higher education,5,    Technical Education,Total,8991.27
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Satun,    Higher education,6,    Teacher Training,Total,5496.42
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Trang,    Higher education,4,    Academic,Total,46932.11
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Trang,    Higher education,5,    Technical Education,Total,24724.95
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Trang,    Higher education,6,    Teacher Training,Total,9493.22
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Phatthalung,    Higher education,4,    Academic,Total,46609.16
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Phatthalung,    Higher education,5,    Technical Education,Total,27029.84
Population 15 Years and Over by Level of Educational Attainment and Sex: Year,Person,"Since 2011, The Population Projection For 2010 Has Been Used","The Labor Force Survey, National Statistical Office, Ministry of Digital Economy and Society",2020,Quarter 1,Southern Region,Phatthalung,    Higher education,6,    Teacher Training,Total,11705.03
