province_id,province,Type of Construction,2014,2015,2016,2017,2018,2019,2020,2021,2022
66,Chai Nat,Engineering construction measured in length,1618,2636,0,1126,2179,1135,13495,2392,12305
66,Chai Nat,Fence / wall,746,129,0,165,718,365,4530,1416,9452
66,Chai Nat,Road,,,,0,0,0,0,0,0
66,Chai Nat,Bridge,,,,0,0,0,14,0,0
66,Chai Nat,Dam,,,,0,0,0,1829,0,0
66,Chai Nat,Water drain,631,2453,0,901,1461,770,7080,976,2853
66,Chai Nat,Others,241,54,0,60,0,0,42,0,0
66,Chai Nat,Engineering construction measured in area,1950,1246,0,1018,18491,3299,3519,1057,2674
66,Chai Nat,Swimming pool,,,,0,0,0,0,164,0
66,Chai Nat,Petrol station (Oil/LPG/NGV),516,146,,0,17530,2957,768,317,2136
66,Chai Nat,Harbour,,,,0,0,0,0,0,0
66,Chai Nat,Sport ground,,,,0,0,0,0,0,0
66,Chai Nat,Car park,167,916,,620,841,208,48,0,28
66,Chai Nat,Advertisting board,,40,0,0,90,0,41,20,489
66,Chai Nat,Phone Antenna,,,,,,134,0,52,21
66,Chai Nat,Others,1267,144,0,398,30,0,2662,504,0
17,Saraburi,Engineering construction measured in length,21502,18991,9833,12860,7717,6835,26084,23622,17676
17,Saraburi,Fence / wall,3226,4519,1722,2673,1087,324,6198,6557,3492
17,Saraburi,Road,7768,3931,4389,1192,0,1770,1392,1559,4042
17,Saraburi,Bridge,,260,341,32,0,8,0,857,0
17,Saraburi,Dam,,,2416,41,10,0,0,0,0
17,Saraburi,Water drain,8972,10148,965,8922,6620,4733,18494,8169,10142
17,Saraburi,Others,1536,133,0,0,0,0,0,6480,0
17,Saraburi,Engineering construction measured in area,32595,52443,38645,30114,16756,18565,38339,21167,29969
17,Saraburi,Swimming pool,872,417,,160,4250,0,450,914,25
17,Saraburi,Petrol station (Oil/LPG/NGV),1505,8644,15112,613,2249,15874,9869,4328,6042
17,Saraburi,Harbour,,,,0,0,0,0,263,0
17,Saraburi,Sport ground,756,1132,,0,0,683,996,0,0
17,Saraburi,Car park,19783,22373,4721,24376,8984,1395,22204,8748,17589
17,Saraburi,Advertisting board,2453,1132,647,496,707,334,1971,1004,409
17,Saraburi,Phone Antenna,,,,,,279,1695,351,104
17,Saraburi,Others,7226,18745,18165,4469,566,0,1154,5559,5800
64,Chon Buri,Engineering construction measured in length,151650,132702,60050,98648,120874,109478,86597,76159,113818
64,Chon Buri,Fence / wall,36449,36759,7046,27095,33109,26783,33541,27236,36975
64,Chon Buri,Road,3611,36031,36601,9790,17725,8062,15434,5196,20650
64,Chon Buri,Bridge,237,5725,0,490,1839,451,1400,617,1072
64,Chon Buri,Dam,192,125,3835,6097,0,288,288,0,0
64,Chon Buri,Water drain,105808,53793,11539,54617,68001,73894,35934,43110,55121
64,Chon Buri,Others,5353,269,1029,559,200,0,0,0,0
64,Chon Buri,Engineering construction measured in area,220989,418849,60434,269319,153945,228963,170041,83071,477068
64,Chon Buri,Swimming pool,13875,9116,0,10896,6478,15670,6167,10428,8778
64,Chon Buri,Petrol station (Oil/LPG/NGV),10105,11123,3385,5839,12848,8738,21636,2849,36083
64,Chon Buri,Harbour,,35531,,0,226,0,0,0,14960
64,Chon Buri,Sport ground,,7985,3838,42831,3189,9822,12442,6541,6702
64,Chon Buri,Car park,149395,330727,48055,111290,101078,111885,105868,47157,78822
64,Chon Buri,Advertisting board,13089,5813,1728,3868,4666,6427,2818,3558,3530
64,Chon Buri,Phone Antenna,,,,,,1615,5084,2146,1263
64,Chon Buri,Others,34525,18554,3428,94595,25460,74806,16026,10392,326930
51,Rayong,Engineering construction measured in length,110395,95086,16686,82154,72734,49362,151259,39466,114115
51,Rayong,Fence / wall,27545,40352,859,19356,27348,9336,21904,14915,14166
51,Rayong,Road,25599,5714,12087,18305,15705,16197,31431,11799,49711
51,Rayong,Bridge,40,1166,50,2137,110,400,2258,171,302
51,Rayong,Dam,868,,0,12728,48,0,1548,0,1537
51,Rayong,Water drain,55585,47846,3690,28895,29500,23429,94048,12499,48028
51,Rayong,Others,758,8,0,733,23,0,70,82,371
51,Rayong,Engineering construction measured in area,83820,48530,18898,99551,63568,108987,149271,61712,42972
51,Rayong,Swimming pool,704,255,356,2542,1386,487,439,298,2313
51,Rayong,Petrol station (Oil/LPG/NGV),4016,,145,3233,104,4906,1877,3605,994
51,Rayong,Harbour,,,,0,0,0,600,0,0
51,Rayong,Sport ground,2900,2810,0,1100,5897,546,0,0,959
51,Rayong,Car park,38712,22024,17921,75633,47821,93797,118587,42150,13842
51,Rayong,Advertisting board,1290,943,89,1805,4050,2417,2997,5581,15368
51,Rayong,Phone Antenna,,,,,,1005,2972,977,397
51,Rayong,Others,36198,22498,387,15238,4310,5829,21799,9101,9099
71,Chanthaburi,Engineering construction measured in length,1569,3514,1524,6578,5634,6261,4752,8190,7834
71,Chanthaburi,Fence / wall,1438,2437,1524,3270,4123,5161,4623,6895,5990
71,Chanthaburi,Road,,833,0,2796,50,922,0,535,1127
71,Chanthaburi,Bridge,,,,0,0,28,0,0,90
71,Chanthaburi,Dam,,23,,120,119,41,0,270,21
71,Chanthaburi,Water drain,131,221,0,368,1242,109,65,490,606
71,Chanthaburi,Others,,,0,24,100,0,64,0,0
71,Chanthaburi,Engineering construction measured in area,877,2678,11966,6381,12157,19330,30977,24645,9666
71,Chanthaburi,Swimming pool,,,0,1084,239,4319,462,238,50
71,Chanthaburi,Petrol station (Oil/LPG/NGV),,83,,3561,3934,3502,25265,5329,2789
71,Chanthaburi,Harbour,,,,0,0,0,0,0,42
