province_id,province-org,province,year,GINIW_province,gdppc,construction_gdp,construction_share,roadlength,allconstruction_length,allconstruction_lengthpc,edu_graduate (total),edu_graduate,total_gdp,agri_gdp,agri_share,manu_gdp,manu_share,knowledge_service_gdp,knowledge_service_share,total_area,urban_modis,total_pop,pop_density,incomegroup
39,Bueng Kan,Bueng Kan,2016,0.2091396,85837,608.971213,0.019598082,0,0,0,73052,0.201801105,31073000000,16566.00734,0.533131894,6277.941029,0.202038459,1073.541115,0.034549001,4037.46209,11.32989636,362000,89.66028459,0
39,Bueng Kan,Bueng Kan,2017,0.16872138,93396,901.596727,0.026740916,0,42,0.000116343,80437,0.222817175,33716000000,18205.88866,0.539977716,7069.639543,0.209682037,1199.489489,0.035576269,4037.46209,11.54387995,361000,89.41260424,0
39,Bueng Kan,Bueng Kan,2018,0.17741708,92622,914.512162,0.027426588,0,586,0.001627778,77212,0.214477778,33344000000,18150.2991,0.544334786,7232.733716,0.216912599,1353.175874,0.04058229,4037.46209,11.75786342,360000,89.1649239,0
39,Bueng Kan,Bueng Kan,2019,0.18192139,96183,1083.832131,0.031301107,0,151,0.000419444,78598,0.218327778,34626000000,18938.60032,0.54694739,7257.914685,0.209608811,1371.276244,0.039602502,4037.46209,11.97184677,360000,89.1649239,0
39,Bueng Kan,Bueng Kan,2020,0.1570072,94565,1097.717981,0.032334324,176,1611,0.004487465,83412,0.232345404,33949000000,19118.70519,0.563159598,6213.348924,0.183020087,1388.671901,0.040904648,4037.46209,11.97184677,359000,88.91724355,0
39,Bueng Kan,Bueng Kan,2021,0.16151482,100578,1090.321697,0.030280826,0,0,0,89090,0.248854749,36007000000,19550.39175,0.542960862,6554.990032,0.182047658,1427.05471,0.039632702,4037.46209,11.97184677,358000,88.66956321,0
35,Buri Ram,Buri Ram,2014,0.39527363,37736,1682.033461,0.035630263,0,5809,0.004643485,291547,0.233051159,47208000000,8930.127715,0.189165559,8662.42031,0.183494753,4186.585025,0.088683804,10011.91984,107.4501988,1251000,124.9510603,0
35,Buri Ram,Buri Ram,2015,0.37560892,40071,2095.104985,0.041996171,1726,29616,0.023787952,317114,0.25471004,49888000000,9024.609861,0.180897407,9526.095467,0.190949637,4614.668485,0.092500571,10011.91984,107.8779715,1245000,124.3517747,0
35,Buri Ram,Buri Ram,2016,0.36943752,40829,2238.900035,0.044258407,0,0,0,337070,0.27205004,50587000000,9189.24751,0.181652352,9181.432364,0.181497862,4993.387525,0.098708908,10011.91984,107.8779715,1239000,123.752489,0
35,Buri Ram,Buri Ram,2017,0.33524257,41818,2236.450607,0.043374008,0,16442,0.013334955,322107,0.261238443,51562000000,9284.588592,0.180066495,9561.587222,0.185438641,5337.558625,0.103517292,10011.91984,108.5196435,1233000,123.1532034,0
35,Buri Ram,Buri Ram,2018,0.3482998,42441,2706.387664,0.05192808,240,11704,0.009530945,322644,0.262739414,52118000000,9030.957356,0.173279047,10275.67858,0.197161798,5746.008482,0.11024998,10011.91984,108.7335341,1228000,122.6537986,0
35,Buri Ram,Buri Ram,2019,0.35787871,43152,2786.087233,0.052965424,4473,6552,0.005374897,337280,0.276685808,52602000000,8897.012976,0.169138302,10451.37848,0.198687854,5889.583985,0.11196502,10011.91984,108.7335341,1219000,121.7548701,0
35,Buri Ram,Buri Ram,2020,0.34111837,44683,2932.927587,0.054247172,1204,4285,0.003541322,423680,0.35014876,54066000000,10003.48099,0.185023508,10067.62695,0.186209946,6037.504363,0.111669152,10011.91984,108.7335341,1210000,120.8559417,0
35,Buri Ram,Buri Ram,2021,0.29559913,46754,3055.041107,0.054407599,0,10383,0.008645296,403225,0.335741049,56151000000,10323.21889,0.183847463,11007.58395,0.196035404,6114.409918,0.108892271,10011.91984,108.9474247,1201000,119.9570132,0
66,Chai Nat,Chai Nat,2014,0.35155904,61238,930.534128,0.050315461,0,1618,0.005357616,135563,0.448884106,18494000000,4205.760987,0.227412187,3625.600304,0.196041976,1524.908432,0.082454225,2494.56793,18.85371429,302000,121.0630492,0
66,Chai Nat,Chai Nat,2015,0.34161529,55585,780.070275,0.046624247,0,2636,0.008757475,138169,0.459033223,16731000000,3217.842734,0.192328177,3713.733097,0.221967192,1658.962314,0.099155001,2494.56793,18.85371429,301000,120.6621782,0
66,Chai Nat,Chai Nat,2016,0.33460382,56221,836.746353,0.049943079,0,0,0,119849,0.402177852,16754000000,3174.531475,0.189479018,3524.749784,0.210382582,1783.304957,0.106440549,2494.56793,18.85371429,298000,119.4595651,0
66,Chai Nat,Chai Nat,2017,0.31956622,63929,782.114341,0.041331414,0,1126,0.003804054,119413,0.403422297,18923000000,4135.848526,0.218561989,4040.577201,0.213527305,1893.502216,0.100063532,2494.56793,18.85371429,296000,118.657823,0
66,Chai Nat,Chai Nat,2018,0.3444238,69395,1038.013371,0.05087802,0,2179,0.007411565,141831,0.482418367,20402000000,4558.177779,0.223418183,4117.875784,0.201836868,1970.337184,0.096575688,2494.56793,18.85371429,294000,117.856081,0
66,Chai Nat,Chai Nat,2019,0.35572582,71014,1208.394315,0.058076336,0,1135,0.00387372,165292,0.564136519,20807000000,4579.636047,0.220100738,4310.132271,0.207148184,1989.032382,0.095594386,2494.56793,18.85371429,293000,117.45521,0
66,Chai Nat,Chai Nat,2020,0.33556744,67828,1583.510841,0.080226509,0,13495,0.04637457,167116,0.574281787,19738000000,3199.552792,0.162101165,4882.50253,0.247365616,2038.149605,0.103260189,2494.56793,18.85371429,291000,116.6534679,0
66,Chai Nat,Chai Nat,2021,0.32436571,72370,1691.957969,0.080896867,0,2392,0.008276817,164252,0.568346021,20915000000,3503.849508,0.167528066,5380.634123,0.257261971,1988.42916,0.095071918,2494.56793,18.85371429,289000,115.8517259,0
9,Chaiyaphum,Chaiyaphum,2014,0.31528923,36040,1272.051677,0.036843297,0,0,0,269603,0.281422756,34526000000,8013.626284,0.232104104,5222.514659,0.151263241,3468.170446,0.100450977,13190.87897,71.61446754,958000,72.62594117,0
