id,Province,Year,Student (persons),Student (thousands)
53,Phra Nakhon Sri Ayuthaya,2020,"643,700",643.7
53,Phra Nakhon Sri Ayuthaya,2021,"708,324",708.324
32,Phrae,2014,"173,820",173.82
32,Phrae,2015,"192,037",192.037
32,Phrae,2016,"207,527",207.527
32,Phrae,2017,"206,892",206.892
32,Phrae,2018,"230,233",230.233
32,Phrae,2019,"268,243",268.243
32,Phrae,2020,"242,089",242.089
32,Phrae,2021,"232,724",232.724
44,Phuket,2014,"395,820",395.82
44,Phuket,2015,"427,662",427.662
44,Phuket,2016,"435,433",435.433
44,Phuket,2017,"412,979",412.979
44,Phuket,2018,"438,778",438.778
44,Phuket,2019,"427,537",427.537
44,Phuket,2020,"469,554",469.554
44,Phuket,2021,"575,253",575.253
52,Prachin Buri,2014,"257,066",257.066
52,Prachin Buri,2015,"277,397",277.397
52,Prachin Buri,2016,"297,614",297.614
52,Prachin Buri,2017,"338,498",338.498
52,Prachin Buri,2018,"350,094",350.094
52,Prachin Buri,2019,"341,642",341.642
52,Prachin Buri,2020,"379,937",379.937
52,Prachin Buri,2021,"365,756",365.756
42,Phachuap Khiri Khan,2014,"198,964",198.964
42,Phachuap Khiri Khan,2015,"195,551",195.551
42,Phachuap Khiri Khan,2016,"174,793",174.793
42,Phachuap Khiri Khan,2017,"205,705",205.705
42,Phachuap Khiri Khan,2018,"239,737",239.737
42,Phachuap Khiri Khan,2019,"227,838",227.838
42,Phachuap Khiri Khan,2020,"236,924",236.924
42,Phachuap Khiri Khan,2021,"251,895",251.895
22,Ranong,2014,"92,407",92.407
22,Ranong,2015,"92,562",92.562
22,Ranong,2016,"102,172",102.172
22,Ranong,2017,"106,586",106.586
22,Ranong,2018,"107,061",107.061
22,Ranong,2019,"115,195",115.195
22,Ranong,2020,"126,955",126.955
22,Ranong,2021,"110,352",110.352
30,Ratchaburi,2014,"368,913",368.913
30,Ratchaburi,2015,"425,097",425.097
30,Ratchaburi,2016,"393,641",393.641
30,Ratchaburi,2017,"363,641",363.641
30,Ratchaburi,2018,"394,382",394.382
30,Ratchaburi,2019,"432,031",432.031
30,Ratchaburi,2020,"430,941",430.941
30,Ratchaburi,2021,"482,579",482.579
51,Rayong,2014,"593,794",593.794
51,Rayong,2015,"678,082",678.082
51,Rayong,2016,"626,204",626.204
51,Rayong,2017,"642,739",642.739
51,Rayong,2018,"627,694",627.694
51,Rayong,2019,"536,427",536.427
51,Rayong,2020,"609,702",609.702
51,Rayong,2021,"667,241",667.241
0,Roi Et,2014,"336,383",336.383
0,Roi Et,2015,"336,053",336.053
0,Roi Et,2016,"335,383",335.383
0,Roi Et,2017,"336,068",336.068
0,Roi Et,2018,"316,751",316.751
0,Roi Et,2019,"353,460",353.46
0,Roi Et,2020,"402,616",402.616
0,Roi Et,2021,"334,650",334.65
75,Sa Kaew,2014,"194,111",194.111
75,Sa Kaew,2015,"188,200",188.2
75,Sa Kaew,2016,"198,479",198.479
75,Sa Kaew,2017,"213,461",213.461
75,Sa Kaew,2018,"215,478",215.478
75,Sa Kaew,2019,"225,625",225.625
75,Sa Kaew,2020,"238,549",238.549
75,Sa Kaew,2021,"247,755",247.755
24,Sakon Nakhon,2014,"256,716",256.716
24,Sakon Nakhon,2015,"205,077",205.077
24,Sakon Nakhon,2016,"212,793",212.793
24,Sakon Nakhon,2017,"220,609",220.609
24,Sakon Nakhon,2018,"197,275",197.275
24,Sakon Nakhon,2019,"212,707",212.707
24,Sakon Nakhon,2020,"264,917",264.917
24,Sakon Nakhon,2021,"302,269",302.269
69,Samut Prakan,2014,"1,342,625",1342.625
69,Samut Prakan,2015,"1,450,974",1450.974
69,Samut Prakan,2016,"1,454,783",1454.783
69,Samut Prakan,2017,"1,493,083",1493.083
69,Samut Prakan,2018,"1,390,292",1390.292
