id,shapeISO,region,province,year,total_sol,mean_sol,gpp(millions),gdp,"population(1,000 persons)",pop,gdppc
64,TH-20,EA,Chon Buri,2019,120140.0043,5.7104,602900,603000000000,1855,1855000,325013
64,TH-20,EA,Chon Buri,2020,125814.0237,5.98,561980,562000000000,1891,1891000,297187
64,TH-20,EA,Chon Buri,2021,139789.0696,6.6443,600858,601000000000,1926,1926000,311972
60,TH-26,EA,Nakhon Nayok,2014,5955.1096,0.5655,14893,14893000000,254,254000,58634
60,TH-26,EA,Nakhon Nayok,2015,7066.7579,0.671,15328,15328000000,256,256000,59875
60,TH-26,EA,Nakhon Nayok,2016,7585.0817,0.7202,15732,15732000000,256,256000,61453
60,TH-26,EA,Nakhon Nayok,2017,9685.3677,0.9197,16219,16219000000,258,258000,62864
60,TH-26,EA,Nakhon Nayok,2018,10011.4693,0.9506,18072,18072000000,259,259000,69776
60,TH-26,EA,Nakhon Nayok,2019,10760.1182,1.0217,18302,18302000000,260,260000,70392
60,TH-26,EA,Nakhon Nayok,2020,11958.234,1.1355,18587,18587000000,261,261000,71215
60,TH-26,EA,Nakhon Nayok,2021,13246.7225,1.2578,18009,18009000000,262,262000,68737
52,TH-25,EA,Prachin Buri,2014,17345.6451,0.6462,184119,184000000000,582,582000,316356
52,TH-25,EA,Prachin Buri,2015,19792.6401,0.7373,177569,178000000000,590,590000,300964
52,TH-25,EA,Prachin Buri,2016,21968.0893,0.8184,205188,205000000000,599,599000,342551
52,TH-25,EA,Prachin Buri,2017,25014.9533,0.9319,251950,252000000000,612,612000,411683
52,TH-25,EA,Prachin Buri,2018,25333.6573,0.9438,273399,273000000000,621,621000,440256
52,TH-25,EA,Prachin Buri,2019,26880.7248,1.0014,300183,300000000000,630,630000,476481
52,TH-25,EA,Prachin Buri,2020,28415.4862,1.0586,278204,278000000000,638,638000,436056
52,TH-25,EA,Prachin Buri,2021,31037.6749,1.1563,271868,272000000000,647,647000,420198
51,TH-21,EA,Rayong,2014,73667.0924,4.2077,461274,461000000000,886,886000,520625
51,TH-21,EA,Rayong,2015,75613.2129,4.3189,477569,478000000000,902,902000,529456
51,TH-21,EA,Rayong,2016,79370.2346,4.5335,493228,493000000000,921,921000,535535
51,TH-21,EA,Rayong,2017,86016.2606,4.9131,521844,522000000000,954,954000,547006
51,TH-21,EA,Rayong,2018,86803.9763,4.9581,521125,521000000000,980,980000,531760
51,TH-21,EA,Rayong,2019,92450.9054,5.2806,519005,519000000000,1005,1005000,516423
51,TH-21,EA,Rayong,2020,96949.4198,5.5376,489914,490000000000,1031,1031000,475183
51,TH-21,EA,Rayong,2021,122498.3232,6.9969,496956,497000000000,1056,1056000,470602
75,TH-27,EA,Sa Kaew,2014,6474.5928,0.2127,22954,22954000000,590,590000,38905
75,TH-27,EA,Sa Kaew,2015,8018.1926,0.2634,24148,24148000000,599,599000,40314
75,TH-27,EA,Sa Kaew,2016,9423.7893,0.3096,24908,24908000000,608,608000,40967
75,TH-27,EA,Sa Kaew,2017,10919.4922,0.3588,26512,26512000000,621,621000,42692
75,TH-27,EA,Sa Kaew,2018,12461.2806,0.4094,29571,29571000000,630,630000,46938
75,TH-27,EA,Sa Kaew,2019,14022.4059,0.4607,29547,29547000000,639,639000,46239
75,TH-27,EA,Sa Kaew,2020,14275.0987,0.469,28225,28225000000,647,647000,43624
75,TH-27,EA,Sa Kaew,2021,17136.6922,0.563,29008,29008000000,656,656000,44220
29,TH-23,EA,Trat,2014,2816.3247,0.2143,24820,24820000000,257,257000,96576
29,TH-23,EA,Trat,2015,3242.7646,0.2468,24316,24316000000,259,259000,93884
29,TH-23,EA,Trat,2016,3304.8553,0.2515,22610,22610000000,262,262000,86298
29,TH-23,EA,Trat,2017,4246.0418,0.3232,26272,26272000000,264,264000,99515
29,TH-23,EA,Trat,2018,4631.26,0.3525,24264,24264000000,267,267000,90876
29,TH-23,EA,Trat,2019,5230.4929,0.3981,25349,25349000000,270,270000,93885
29,TH-23,EA,Trat,2020,5728.1564,0.436,26437,26437000000,272,272000,97195
29,TH-23,EA,Trat,2021,6110.4792,0.465,24986,24986000000,275,275000,90858
67,TH-37,NE,Amnat Chareon,2014,3171.6055,0.2002,9061,9061000000,283,283000,32018
67,TH-37,NE,Amnat Chareon,2015,3788.2183,0.2392,9449,9449000000,283,283000,33389
67,TH-37,NE,Amnat Chareon,2016,3763.4772,0.2376,9821,9821000000,283,283000,34703
67,TH-37,NE,Amnat Chareon,2017,5706.2851,0.3603,10263,10263000000,283,283000,36265
67,TH-37,NE,Amnat Chareon,2018,6163.2699,0.3891,10951,10951000000,282,282000,38833
67,TH-37,NE,Amnat Chareon,2019,6460.4953,0.4079,11329,11329000000,282,282000,40174
67,TH-37,NE,Amnat Chareon,2020,7846.7886,0.4954,11493,11493000000,282,282000,40755
67,TH-37,NE,Amnat Chareon,2021,8979.0121,0.5669,12196,12196000000,282,282000,43248
39,TH-38,NE,Bueng Kan,2014,3078.0303,0.1553,26469,26469000000,363,363000,72917
39,TH-38,NE,Bueng Kan,2015,3755.7651,0.1895,29800,29800000000,363,363000,82094
39,TH-38,NE,Bueng Kan,2016,4004.5343,0.202,31073,31073000000,362,362000,85837
39,TH-38,NE,Bueng Kan,2017,6291.9572,0.3174,33716,33716000000,361,361000,93396
39,TH-38,NE,Bueng Kan,2018,6622.8024,0.3341,33344,33344000000,360,360000,92622
39,TH-38,NE,Bueng Kan,2019,6631.1206,0.3345,34626,34626000000,360,360000,96183
39,TH-38,NE,Bueng Kan,2020,7600.4834,0.3834,33949,33949000000,359,359000,94565
39,TH-38,NE,Bueng Kan,2021,8948.0386,0.4514,36007,36007000000,358,358000,100578
35,TH-31,NE,Buri Ram,2014,10621.8585,0.2203,47208,47208000000,1251,1251000,37736
35,TH-31,NE,Buri Ram,2015,12463.8236,0.2585,49888,49888000000,1245,1245000,40071
35,TH-31,NE,Buri Ram,2016,14063.6711,0.2917,50587,50587000000,1239,1239000,40829
35,TH-31,NE,Buri Ram,2017,18397.3107,0.3815,51562,51562000000,1233,1233000,41818
35,TH-31,NE,Buri Ram,2018,20383.6909,0.4227,52118,52118000000,1228,1228000,42441
35,TH-31,NE,Buri Ram,2019,21548.3708,0.4469,52602,52602000000,1219,1219000,43152
35,TH-31,NE,Buri Ram,2020,24861.0822,0.5156,54066,54066000000,1210,1210000,44683
